# Cosmic Chronometers Compilation (Moresco et al. 2022, 2016; Ratsimbazafy et al. 2017; Stern et al. 2010; Simon et al. 2005)
# Columns: z   H(z) [km/s/Mpc]   sigma_H [km/s/Mpc]   reference
0.070   69.0    19.6   Zhang2014
0.090   69.0    12.0   Jimenez2003
0.120   68.6    26.2   Zhang2014
0.170   83.0     8.0   Simon2005
0.179   75.0     4.0   Moresco2012
0.199   75.0     5.0   Moresco2012
0.200   72.9    29.6   Zhang2014
0.270   77.0    14.0   Simon2005
0.280   88.8    36.6   Zhang2014
0.352   83.0    14.0   Moresco2016
0.380   83.0    13.5   Moresco2020
0.400   95.0    17.0   Simon2005
0.4004  77.0    10.2   Moresco2016
0.425   87.1    11.2   Moresco2020
0.445   92.8    12.9   Moresco2020
0.470   89.0    49.6   Ratsimbazafy2017
0.478   80.9     9.0   Moresco2016
0.480   97.0    62.0   Stern2010
0.593  104.0    13.0   Moresco2016
0.680   92.0     8.0   Moresco2016
0.750   98.8    33.6   Borghi2022
0.781  105.0    12.0   Moresco2016
0.875  125.0    17.0   Moresco2016
0.880   90.0    40.0   Stern2010
0.900  117.0    23.0   Simon2005
1.037  154.0    20.0   Moresco2016
1.300  168.0    17.0   Simon2005
1.363  160.0    33.6   Moresco2015
1.430  177.0    18.0   Simon2005
1.530  140.0    14.0   Simon2005
1.750  202.0    40.0   Simon2005
1.965  186.5    50.4   Moresco2015
